
(4×za)×kur	𒍟
(an.naga)@(an.naga)	𒀰
(bu&bu)×na₂	𒒈
(kaskal.lagab×u)&(kaskal.lagab×u)	𒆞
(muš&muš)×ga	𒔤
(muš&muš)×kak	𒔥
(nun.lagar×sal)&(nun.lagar×sal)	𒉧
(še.nun&nun)&(še.nun&nun)	𒌃
(še.nun&nun)&(še.nun&nun).gad&gad.gar&gar	𒌄
(še.nun&nun)&(še.nun&nun).lagab	𒌃𒆸
(še.nun&nun)&(še.nun&nun).lagab.lagab	𒌃𒆸𒆸
(še.nun&nun)×tak₄	𒌂
...aš	𒈏
...ba	𒆠𒇴
...bun	𒇮
...e	𒃬
...ga	𒆠𒁉𒆕
...gukin	𒊛
...ingara	𒂍𒄑𒌆𒉿𒀭𒊺𒉀
...ki	𒀴
...la	𒂍𒆠𒋧𒂵
...luku	𒅆𒆳
...nunnam...	𒆲
...ri	𒉣
...rig	𒉨
...tallu	𒈍
/	𒑰
/ad/	𒈕
/allura/	𒁃
/damal/	𒂼
/dimer/	𒀭
/eneŋ/	𒅗
/mal/	𒅅
/mutin/	𒃾
/nerim/	𒉈𒊒
/tešlug/	𒈊
/zeŋ/	𒋧
/ŋereš/	𒀵
/šitlam/	𒁶
/šumdum/	𒅻
/šumun/	𒍤𒆸
01	𒁹
010	𒌋
02	𒈫
020	𒌋𒌋
03	𒐈
030	𒌍
04	𒐉
040	𒐏
05	𒐊
050	𒐐
06	𒐋
060	𒐕
07	𒐌
070	𒐕𒌋
08	𒐍
09	𒑆
1	𒁹
1(aš)	𒀸
1(aš@c)	𒀸
1(aš@t)	𒀹
1(aš@t@c)	𒀹
1(ban₂)	𒑏
1(ban₂@c)	𒑏
1(barig)	𒁹
1(barig@c)	𒁹
1(bariga)	𒁹
1(bariga@c)	𒁹
1(burʾu)	𒐴
1(burʾu@c)	𒐴
1(bur₃)	𒌋
1(bur₃@c)	𒌋
1(diš)	𒁹
1(diš@c)	𒁹
1(eše₃)	𒑘
1(eše₃@c)	𒑘
1(gešu)	𒐞
1(gešu@c)	𒐞
